folds:,0,1,2,3,4
blood,4.3305,4.1111,3.9455999999999998,4.9551,4.9437
hayes-roth,0.6045,0.5755,0.5773,0.5375,0.5372
bank,188.7659,189.2454,189.8617,189.5974,190.3953
balance-scale,0.7515,0.7443,0.7578,0.7396,0.7974
monks-1,1.7095,1.6509,1.6162999999999998,1.8239999999999998,2.2658
breast-cancer-wisc-diag,51.094,50.7638,50.7153,50.9755,50.925
