folds:,0,1,2,3,4
blood,755.7925,662.0737,689.037,822.5062,840.7495
hayes-roth,44.1295,75.2833,80.599,44.5788,51.4916
bank,6466.1297,6531.6367,5087.1918,4080.4338,3803.5285
balance-scale,109.6387,115.5878,116.8079,116.3109,118.1587
monks-1,88.2199,91.9003,92.575,87.3076,89.6349
breast-cancer-wisc-diag,413.254,432.316,359.1568,337.6279,349.1779
