folds:,0,1,2,3,4
blood,-502.3083,-272.4195,-273.5031,-268.8113,-280.685
hayes-roth,-72.6656,-61.774,-85.5875,-36.3897,-30.0339
bank,-2292.9036,-2269.0205,-2265.0224,-2391.8947,-2330.1885
balance-scale,-97.6697,-93.9238,-103.8292,-86.7128,-108.1163
monks-1,-76.9446,-81.1688,-71.9994,-75.8875,-75.3508
breast-cancer-wisc-diag,-207.9918,-204.0681,-164.7479,-159.2801,-163.1214
