folds:,0,1,2,3,4
blood,-0.6038,-0.8489,-0.6427,-0.8289,-0.8835
hayes-roth,-1.1622,-0.5445,-0.6638,-0.3358,-0.3673
bank,-48.9427,-42.864,-34.8206,-44.1758,-33.1588
balance-scale,-1.5365,-0.8073,-0.4276,-0.563,-0.5792
monks-1,-0.4547,-0.7521,-1.2732,-0.4307,-0.9221
breast-cancer-wisc-diag,-3.952,-3.6914,-2.5541,-2.0537,-2.4513
