TRAINTrainTimesBenchmarkedSTDDEVS,RandF,C45
blood,102.25837502067004,0.1284992529161162
hayes-roth,23.648368679530524,0.3339487490618882
bank,52.69895620145618,6.635144241235455
balance-scale,8.373049116839097,0.44288710412474197
monks-1,3.3046401319962238,0.3504085016091933
breast-cancer-wisc-diag,24.02871829671737,0.8309661395026875
