folds:,0,1,2,3,4
blood,-2.3161,-2.0774,-1.2945,-2.1625,-2.2312
hayes-roth,-1.5104,-2.1005,-1.2685,-1.1671,-0.8418
bank,-104.3604,-82.4327,-137.9704,-94.1268,-78.3592
balance-scale,-0.7883,-0.9243,-1.6013,-1.35,-1.0392
monks-1,-0.5373,-0.6327,-1.1656,-0.5279,-0.8785
breast-cancer-wisc-diag,-10.9522,-16.3494,-12.4002,-16.3421,-18.1828
